Task Name,Description,Tags,Date
Trend Radar dashboard,"New /dashboard/trends page with Tavily-powered news search, per-user trends and AI-generated post ideas. Includes nav entry, RSC page, loading skeleton, empty state.",feature;trends;backend;frontend,2026-05-04
Idea Engine (Haiku post-angle generator),"For each fetched trend, Claude Haiku generates 3 post hooks with angle, target platform and viral score. Stored in trend_ideas table.",feature;ai;trends,2026-05-04
Trends DB migration,"Added 0014_trends.sql with trends and trend_ideas tables (FK to users, score column, indexes).",database;migration;trends,2026-05-04
Tavily news client,"server/src/lib/tavily.ts wrapping POST /search with topic=news, days=2 window, error class.",backend;integration;trends,2026-05-04
Topic picker on Trend Radar,"Input + suggested-topic chips so user picks the niche to scan; sends topic to /api/trends/refresh.",feature;ux;trends,2026-05-04
Rotating query angles for refresh,"Refresh now picks one of 5 angles (news / launches / debates / case studies / reports) so each click returns fresh articles instead of identical results.",enhancement;trends,2026-05-04
Generate-from-idea action,"Idea row Generate button now calls generatePostAction directly with the hook as topic instead of dead-end navigation. Toast confirms.",bugfix;trends;generate,2026-05-04
Twitter/X platform alias,"resolvePlatformAccounts maps twitter <-> x so UI's twitter selection matches Late accounts registered as x (and vice versa).",bugfix;publish;late-api,2026-05-04
Per-platform publish toast,"Publish endpoint returns publishedTo + failed[] from Late's platformResults. Toast shows real success/failure per platform with error message (e.g. X 280-char limit).",feature;publish;ux,2026-05-04
Bulk select & delete on Posts page,"Selection mode with checkbox overlay on cards, selection bar with Select all posted / Select all / Clear / Delete selected. New POST /api/posts/bulk-delete endpoint.",feature;posts,2026-05-04
Hydration fix for SelectableCard,"Replaced outer button wrapper with div role=button to avoid nested-button HTML error inside post cards.",bugfix;frontend,2026-05-04
Strip shadow/ring from default button,"Removed shadow-md, ring-1 ring-primary/40 ring-offset-2 and hover-shadow from default Button variant for a clean filled look.",ui;polish,2026-05-04
Inbox 500 root cause,"Identified that /api/inbox/conversations 500s come from real Late API when INBOX_USE_MOCK is unset. Fallback only catches 402/403/404; documented fix.",investigation;inbox,2026-05-04


